k,x,h,y_true,y_lin,err_abs,a,s,status
0,0.99,0.001,111.11111111111101,109.9999999999999,1.1111111111111143,0.8333472210649113,0.04998000199979988,ALLOW
1,0.995,0.001,249.99999999999977,239.99999999999977,10.0,0.7142908162354246,0.2999700022497933,ALLOW
2,0.999,0.001,nan,1999.9999999999973,nan,nan,0.2999700022497933,ABSTAIN
3,1.0,0.001,-1000.0000000001102,nan,nan,nan,0.2999700022497933,ABSTAIN
4,1.0001,0.001,-909.0909090910092,90000.00000002094,90909.09090911195,0.04761904807255737,20.149969802252,DENY
