k,x,h,y_true,y_lin,err_abs
0,0.0016,0.001,0.05099019513592785,0.052500000000000005,0.0015098048640721576
1,0.0015,0.001,0.05,0.051639777949432225,0.0016397779494322223
2,0.0014,0.001,0.048989794855663564,0.05077963596336064,0.0017898411076970738
3,0.0013,0.001,0.04795831523312719,0.049923017660270616,0.0019647024271434235
4,0.0012000000000000001,0.001,0.0469041575982343,0.04907477288111819,0.0021706152828838907
5,0.0011,0.001,0.045825756949558406,0.048241815132442176,0.0024160581828837693
6,0.001,0.001,0.044721359549995794,0.047434164902525694,0.0027128053525299
7,0.0009000000000000001,0.001,0.04358898943540674,0.04666666666666666,0.003077677231259922
