k,x,h,y_true,y_lin,err_abs,a,s,status
0,0.0016,0.001,0.05099019513592785,0.052500000000000005,0.0015098048640721576,0.7755834829443446,0.1393518518518518,ALLOW
1,0.0015,0.001,0.05,0.051639777949432225,0.0016397779494322223,0.7637262636882255,0.29872151418446474,ALLOW
2,0.0014,0.001,0.048989794855663564,0.05077963596336064,0.0017898411076970738,0.7505943843149795,0.4809990010625971,ALLOW
3,0.0013,0.001,0.04795831523312719,0.049923017660270616,0.0019647024271434235,0.7359728072874921,0.6897448543035732,ALLOW
4,0.0012000000000000001,0.001,0.0469041575982343,0.04907477288111819,0.0021706152828838907,0.719595523751496,0.9294144214329797,DENY
5,0.0011,0.001,0.045825756949558406,0.048241815132442176,0.0024160581828837693,0.7011295650383491,1.2056843291144563,DENY
6,0.001,0.001,0.044721359549995794,0.047434164902525694,0.0027128053525299,0.6801526164744809,1.5259425855384685,DENY
7,0.0009000000000000001,0.001,0.04358898943540674,0.04666666666666666,0.003077677231259922,0.656121045392022,1.900051600213521,DENY
